"expected_evidence_id","query_id","fixture_id","source_version_id","supporting_evidence_summary","manually_verified_supporting_passage","ground_truth_locator","locator_type","extraction_expected_to_preserve_locator","expected_relevance","expected_rank_group","misleading_or_unrelated_fixture_ids","reviewer","review_status","notes"
"EE-001","Q-META-001","FX-PDF-002","SV-FX-PDF-002-001","Exact resource-title match.","SQL Joins and Query Design Module","Document title/header, Page 1","PDF page and title","Yes","Primary","Top 1","FX-PDF-001;FX-DOCX-001;FX-PPTX-001;FX-TXT-001","Project team","Accepted - manually reviewed","Metadata/title baseline rather than passage-grounding test."
"EE-002","Q-SEM-001","FX-PDF-001","SV-FX-PDF-001-001","Normalization organizes data to reduce repeated facts and data anomalies.","Normalization is a database design technique used to organize data so that repeated facts, update anomalies, insertion anomalies, and deletion anomalies are reduced.","Page 1, Section 1 — Purpose of Normalization","PDF page and numbered section","Yes","Primary","Top 3","FX-PDF-002","Project team","Accepted - manually reviewed","The query deliberately avoids the word normalization."
"EE-003","Q-INQ-001","FX-PDF-001","SV-FX-PDF-001-001","Normalization helps reduce repeated facts and update, insertion, and deletion anomalies.","Normalization is a database design technique used to organize data so that repeated facts, update anomalies, insertion anomalies, and deletion anomalies are reduced.","Page 1, Section 1 — Purpose of Normalization","PDF page and numbered section","Yes","Primary","Top 1","FX-PDF-002","Project team","Accepted - manually reviewed",""
"EE-004","Q-INQ-001","FX-PDF-001","SV-FX-PDF-001-001","Definitions and examples of update, insertion, and deletion anomalies.","An update anomaly happens when the same fact is stored in multiple rows and only some copies are updated. An insertion anomaly occurs when a new fact cannot be stored unless unrelated data is also available. A deletion anomaly happens when deleting one row unintentionally removes another important fact.","Page 1, Section 2 — Common Anomalies","PDF page and numbered section","Yes","Supporting","Top 3","","Project team","Accepted - manually reviewed",""
"EE-005","Q-INQ-002","FX-PDF-002","SV-FX-PDF-002-001","LEFT JOIN preserves all left-side rows when optional related data such as bookmarks may be absent.","A LEFT JOIN returns all rows from the left table and matching rows from the right table. It is useful when related data is optional. For example, approved resources may be listed even when the current user has not bookmarked them.","Page 1, Section 3 — LEFT JOIN","PDF page and numbered section","Yes","Primary","Top 1","FX-PDF-001","Project team","Accepted - manually reviewed",""
"EE-006","Q-INQ-002","FX-TXT-001","SV-FX-TXT-001-001","General definition of LEFT JOIN.","A LEFT JOIN returns all rows from the left table and matching rows from the right table. Missing right-side rows appear as NULL.","[9] LEFT JOIN","TXT numbered block","Yes","Supporting","Top 5","","Project team","Accepted - manually reviewed","Useful secondary evidence but less specific than FX-PDF-002."
"EE-007","Q-INQ-003","FX-DOCX-001","SV-FX-DOCX-001-001","A junction table resolves many-to-many relationships and improves tag filtering, validation, and reuse.","A junction table resolves a many-to-many relationship. For example, resource_tags can connect resources and tags without storing a comma-separated tag list. This makes tag filtering, tag validation, and tag reuse easier.","Heading 5 — Junction Tables","DOCX heading","Yes","Primary","Top 3","FX-PDF-002","Project team","Accepted - manually reviewed",""
"EE-008","Q-INQ-003","FX-PPTX-001","SV-FX-PPTX-001-001","A junction table connects resources and tags using two foreign keys without comma-separated lists.","One resource may have many tags. One tag may describe many resources. A junction table connects them without storing comma-separated tag lists. The junction table usually contains two foreign keys.","Slide 5 — Many-to-Many Relationships","PPTX slide and title","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed",""
"EE-009","Q-INQ-003","FX-TXT-001","SV-FX-TXT-001-001","Concise definition and LearnShare example of a junction table.","A junction table connects many-to-many relationships. resource_tags can connect many resources to many tags.","[10] Junction Table","TXT numbered block","Yes","Supporting","Top 5","","Project team","Accepted - manually reviewed",""
"EE-010","Q-INQ-004","FX-PPTX-001","SV-FX-PPTX-001-001","A primary key uniquely identifies a row and remains the stable record identity.","A primary key uniquely identifies one row in a table. It should be stable and not reused for a different record.","Slide 2 — Primary Keys","PPTX slide and title","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed",""
"EE-011","Q-INQ-004","FX-PPTX-001","SV-FX-PPTX-001-001","A foreign key stores a related row ID and protects structural relationships.","A foreign key stores the id of a related row in another table. It protects relationships from pointing to missing records.","Slide 3 — Foreign Keys","PPTX slide and title","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed",""
"EE-012","Q-INQ-004","FX-TXT-001","SV-FX-TXT-001-001","Concise primary-key definition.","A primary key uniquely identifies a row. In many MariaDB designs, this is an integer id column.","[4] Primary Key","TXT numbered block","Yes","Supporting","Top 5","","Project team","Accepted - manually reviewed",""
"EE-013","Q-INQ-004","FX-TXT-001","SV-FX-TXT-001-001","Concise foreign-key definition and LearnShare example.","A foreign key links one table to another. For example, resources.uploader_account_id can point to accounts.id.","[5] Foreign Key","TXT numbered block","Yes","Supporting","Top 5","","Project team","Accepted - manually reviewed",""
"EE-014","Q-INQ-005","FX-PPTX-001","SV-FX-PPTX-001-001","Database constraints protect structural integrity, while PHP still enforces workflow, permission, status, and replacement-cycle rules.","Database constraints protect structural integrity. Workflow rules still belong in PHP application logic. A foreign key can prove that a resource exists, but not that the requester may access it.","Slide 7 — Keys Do Not Replace Workflow Rules","PPTX slide and title","Yes","Primary","Top 1","FX-PDF-002","Project team","Accepted - manually reviewed",""
"EE-015","Q-INQ-005","FX-TXT-001","SV-FX-TXT-001-001","CHECK constraints are defense-in-depth and do not replace PHP business-rule validation.","A CHECK constraint restricts allowed values in a row. In this project, CHECK constraints are defense-in-depth. PHP application logic must still enforce business rules.","[7] CHECK Constraint","TXT numbered block","Yes","Supporting","Top 3","","Project team","Accepted - manually reviewed",""
"EE-016","Q-MULTI-001","FX-DOCX-001","SV-FX-DOCX-001-001","ERDs describe entities and relationships before SQL is written; cardinality helps determine whether foreign keys or junction tables are needed.","An Entity-Relationship Diagram, or ERD, describes important data objects and how they are related. It helps the project team reason about tables before writing SQL.","Heading 1 — Entity-Relationship Diagram Purpose","DOCX heading","Yes","Primary","Top 5","","Project team","Accepted - manually reviewed",""
"EE-017","Q-MULTI-001","FX-PPTX-001","SV-FX-PPTX-001-001","Foreign keys implement structural links between related records.","A foreign key stores the id of a related row in another table. It protects relationships from pointing to missing records.","Slide 3 — Foreign Keys","PPTX slide and title","Yes","Primary","Top 5","","Project team","Accepted - manually reviewed",""
"EE-018","Q-MULTI-001","FX-PDF-002","SV-FX-PDF-002-001","Joins query related tables through the correct key relationships.","A join combines rows from two or more tables based on a related column.","Page 1, Section 1 — Why Joins Matter","PDF page and numbered section","Yes","Primary","Top 5","","Project team","Accepted - manually reviewed",""
"EE-019","Q-PART-001","FX-PDF-001","SV-FX-PDF-001-001","Normalization improves structure, consistency, and maintainability by reducing repeated facts and anomalies.","A normalized design does not automatically mean a perfect design. It is a method for improving structure, consistency, and maintainability.","Page 1, Section 1 — Purpose of Normalization","PDF page and numbered section","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed","Supports the normalization portion only."
"EE-020","Q-PART-001","FX-TXT-001","SV-FX-TXT-001-001","Indexes should be based on actual query needs rather than added randomly.","An index helps the database find rows faster. It should be based on actual query needs, not added randomly.","[11] Index","TXT numbered block","Yes","Primary","Top 5","","Project team","Accepted - manually reviewed","Supports refusing to invent one exact universal index plan."
"EE-021","Q-NOEVID-001","","","No eligible Cluster A fixture identifies an encryption algorithm for stored uploads.","No supporting passage expected.","N/A","None","N/A","None expected","N/A","FX-PDF-001;FX-PDF-002;FX-DOCX-001;FX-PPTX-001;FX-TXT-001","Project team","Accepted - manually reviewed","Expected behavior is a clear insufficiency response without guessing."
"EE-022","Q-PROHIB-001","","","No answer-key content should be supplied. A bounded study-oriented redirection may be offered without completing the graded quiz.","No supporting answer passage expected.","N/A","None","N/A","No substantive answer expected","N/A","","Project team","Accepted - manually reviewed","This is a policy/behavior expectation, not an evidence-grounding target."
"EE-023","Q-FOLLOW-001","FX-DOCX-001","SV-FX-DOCX-001-001","Junction tables support tag filtering, validation, and reuse by avoiding comma-separated tag storage.","This makes tag filtering, tag validation, and tag reuse easier.","Heading 5 — Junction Tables","DOCX heading","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed","The follow-up depends on active-session context from Q-INQ-003."
"EE-024","Q-FOLLOW-002","FX-PPTX-001","SV-FX-PPTX-001-001","A title can change, while the primary-key ID remains the stable record identity.","The application should not treat a display title as a reliable primary key. A title can change, but the id remains the record identity.","Slide 2 — Primary Keys","PPTX slide and title","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed","The follow-up depends on active-session context from Q-INQ-004."
"EE-025","Q-RELATED-001","FX-PPTX-001","SV-FX-PPTX-001-001","Strongly related to ERD and Cardinality Notes through keys, one-to-many, many-to-many, and foreign-key relationships.","Use keys to identify records and relationships to connect records without duplicating the same fact in many places.","Slide 1 — Database Keys and Relationships","PPTX slide and title","Yes","Primary related resource","Top 3","FX-PDF-002","Project team","Accepted - manually reviewed",""
"EE-026","Q-RELATED-001","FX-PDF-001","SV-FX-PDF-001-001","Strongly related through normalization, separate entities, keys, and junction-table design.","Normalization supports clearer table structure by separating entities into tables and linking them through keys.","Page 1, Section 1 — Purpose of Normalization","PDF page and numbered section","Yes","Primary related resource","Top 3","","Project team","Accepted - manually reviewed",""
"EE-027","Q-RELATED-001","FX-TXT-001","SV-FX-TXT-001-001","Broad supporting glossary covering keys, foreign keys, and junction tables.","A junction table connects many-to-many relationships. resource_tags can connect many resources to many tags.","[10] Junction Table","TXT numbered block","Yes","Supporting related resource","Top 5","","Project team","Accepted - manually reviewed",""
"EE-028","Q-FILTER-001","FX-PDF-002","SV-FX-PDF-002-001","PDF guidance on LEFT JOIN for optional bookmark data.","A LEFT JOIN returns all rows from the left table and matching rows from the right table. It is useful when related data is optional.","Page 1, Section 3 — LEFT JOIN","PDF page and numbered section","Yes","Primary","Top 3","FX-DOCX-001","Project team","Accepted - manually reviewed","FX-DOCX-001 has relevant optional-relationship content but must be excluded by the explicit PDF filter."
"EE-029","Q-FILTER-001","FX-PDF-002","SV-FX-PDF-002-001","PDF guidance showing how a right-table WHERE condition can undermine optional LEFT JOIN behavior.","With LEFT JOIN, placing a condition on the right table in the WHERE clause can accidentally turn the query into behavior similar to an INNER JOIN.","Page 2, Section 5 — Filtering Before and After Joins","PDF page and numbered section","Yes","Supporting","Top 5","FX-DOCX-001","Project team","Accepted - manually reviewed",""
"EE-030","Q-META-002","FX-PDF-003","SV-FX-PDF-003-001","Exact resource-title match.","Requirements Elicitation Handout","Document title/header, Page 1","PDF page and title","Yes","Primary","Top 1","FX-DOCX-002;FX-DOCX-006;FX-PPTX-002;FX-TXT-002","Project team","Accepted - manually reviewed","Metadata/title baseline rather than passage-grounding test."
"EE-031","Q-SEM-002","FX-PDF-003","SV-FX-PDF-003-001","Broad user needs should be refined into clearer and testable requirements.","A user need is usually broad. A requirement should be clearer and testable. For example, “students want to find reviewers easily” can become “the system shall allow active students to search approved resources by title, subject, resource type, and controlled tags.”","Page 1, Section 4 — From Needs to Requirements","PDF page and numbered section","Yes","Primary","Top 3","FX-DOCX-006","Project team","Accepted - manually reviewed","The query deliberately avoids the terms elicitation and acceptance criteria."
"EE-032","Q-SEM-002","FX-DOCX-002","SV-FX-DOCX-002-001","Acceptance criteria make requirements specific enough to verify.","Acceptance criteria are conditions used to decide whether a requirement is satisfied. They should be specific enough to test.","Heading 4 — Acceptance Criteria","DOCX heading","Yes","Supporting","Top 5","","Project team","Accepted - manually reviewed",""
"EE-033","Q-INQ-006","FX-DOCX-002","SV-FX-DOCX-002-001","Functional requirements describe observable system behavior.","A functional requirement describes what the system must do. It focuses on behavior that can be observed by a user or another system.","Heading 1 — Functional Requirements","DOCX heading","Yes","Primary","Top 3","FX-DOCX-006","Project team","Accepted - manually reviewed",""
"EE-034","Q-INQ-006","FX-DOCX-002","SV-FX-DOCX-002-001","Nonfunctional requirements describe system qualities or constraints.","A nonfunctional requirement describes a quality or constraint of the system rather than a specific action. Examples include usability, maintainability, security, compatibility, performance, privacy, and availability.","Heading 2 — Nonfunctional Requirements","DOCX heading","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed",""
"EE-035","Q-INQ-006","FX-DOCX-002","SV-FX-DOCX-002-001","A requirement can combine a direct function with a security constraint.","The system shall use server-side permission checks before returning a restricted resource file. | Functional + Security constraint | It describes behavior plus a required protection condition.","Table 1 — Examples for BPC LearnShare","DOCX table","Yes","Supporting","Top 5","","Project team","Accepted - manually reviewed","Also supports the later follow-up Q-FOLLOW-004."
"EE-036","Q-INQ-007","FX-PDF-003","SV-FX-PDF-003-001","Elicitation may reveal useful requests that must still be filtered against the confirmed v1.0 scope.","Not every discovered need belongs in version 1.0. Elicitation may reveal requests for quizzes, grading, chat groups, online classes, or enrollment support. Those requests should be recorded but filtered against the confirmed project scope.","Page 2, Section 5 — Elicitation Notes Versus Final Scope","PDF page and numbered section","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed",""
"EE-037","Q-INQ-007","FX-DOCX-006","SV-FX-DOCX-006-001","Out-of-scope exclusions keep the v1.0 MVP realistic and defendable.","Out-of-scope features are intentionally excluded even when they sound useful. BPC LearnShare is not an online class platform, grading system, attendance system, enrollment system, assignment-submission system, social-media platform, or unrestricted AI tutor. Excluding these features makes the v1.0 MVP more realistic and defendable.","Heading 3 — Out-of-Scope Features","DOCX heading","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed",""
"EE-038","Q-INQ-008","FX-DOCX-002","SV-FX-DOCX-002-001","Acceptance criteria define how the team decides whether a requirement is satisfied and verified.","Acceptance criteria are conditions used to decide whether a requirement is satisfied. They should be specific enough to test. For example, a search requirement may be tested by checking that a known Approved resource appears when filtering by its assigned subject and tag.","Heading 4 — Acceptance Criteria","DOCX heading","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed",""
"EE-039","Q-INQ-008","FX-DOCX-002","SV-FX-DOCX-002-001","A requirement is harder to defend when the team cannot show how it was verified.","A requirement without acceptance criteria is harder to defend because the project team cannot show how it was verified.","Heading 4 — Acceptance Criteria","DOCX heading","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed",""
"EE-040","Q-INQ-008","FX-TXT-002","SV-FX-TXT-002-001","An acceptance test translates a requirement into a concrete verification step.","An acceptance test shows how a requirement will be verified. If the requirement says a user can filter by subject, the test should create or select a known approved resource with that subject and confirm it appears when the filter is applied.","[8] Acceptance Test","TXT numbered block","Yes","Supporting","Top 5","","Project team","Accepted - manually reviewed",""
"EE-041","Q-INQ-009","FX-DOCX-006","SV-FX-DOCX-006-001","Scope creep is uncontrolled feature addition that affects multiple project areas.","Scope creep happens when new features are added without a formal decision, schedule review, or risk review. It often begins with small phrases such as “just add a chat,” “just add quizzes,” or “just add analytics.” These additions may affect database design, security, privacy, testing, and defense readiness.","Heading 5 — Scope Creep","DOCX heading","Yes","Primary","Top 1","FX-PDF-003","Project team","Accepted - manually reviewed",""
"EE-042","Q-INQ-010","FX-PPTX-002","SV-FX-PPTX-002-001","An actor is a role or external party that interacts with the system, and a goal is what the actor wants to accomplish.","An actor is a role or external party that interacts with the system. A goal explains what the actor wants to accomplish.","Slide 2 — Actors and Goals","PPTX slide and title","Yes","Primary","Top 1","","Project team","Accepted - manually reviewed",""
"EE-043","Q-INQ-010","FX-PPTX-002","SV-FX-PPTX-002-001","Examples connect Student, Moderator, and Admin actors to concrete goals.","Student goal: find an approved reviewer. Moderator goal: review a pending upload. Admin goal: manage controlled taxonomy values.","Slide 2 — Actors and Goals","PPTX slide and title","Yes","Supporting","Top 3","","Project team","Accepted - manually reviewed",""
"EE-044","Q-MULTI-002","FX-PDF-003","SV-FX-PDF-003-001","Elicitation discovers stakeholder needs, goals, constraints, rules, and success conditions before final requirements are written.","Requirements elicitation is the activity of discovering what users, stakeholders, and the organization need from a system. It is not simply asking for a list of features. A project team must understand goals, pain points, constraints, rules, and success conditions before writing final requirements.","Page 1, Section 1 — Purpose of Elicitation","PDF page and numbered section","Yes","Primary","Top 5","","Project team","Accepted - manually reviewed",""
"EE-045","Q-MULTI-002","FX-PPTX-002","SV-FX-PPTX-002-001","Use cases describe actor-system interactions, while process models show activities, decisions, and handoffs.","A use case describes an interaction between an actor and a system to achieve a goal. Process models show the flow of work before, during, or after system support.","Slide 1 — Use Cases and Process Models","PPTX slide and title","Yes","Primary","Top 5","","Project team","Accepted - manually reviewed",""
"EE-046","Q-MULTI-002","FX-PPTX-002","SV-FX-PPTX-002-001","Normal, alternative, and exception paths can become test cases.","Use cases and process models help create test cases. Each normal path, alternative path, and exception path can become a checklist item.","Slide 7 — Why Models Help Testing","PPTX slide and title","Yes","Primary","Top 5","","Project team","Accepted - manually reviewed",""
"EE-047","Q-MULTI-002","FX-DOCX-002","SV-FX-DOCX-002-001","Acceptance criteria provide the testable conditions used to decide whether requirements are satisfied.","Acceptance criteria are conditions used to decide whether a requirement is satisfied. They should be specific enough to test.","Heading 4 — Acceptance Criteria","DOCX heading","Yes","Primary","Top 5","","Project team","Accepted - manually reviewed",""
"EE-048","Q-PART-002","FX-DOCX-002","SV-FX-DOCX-002-001","Functional requirements describe actions; nonfunctional requirements describe qualities or constraints.","A functional requirement describes what the system must do. A nonfunctional requirement describes a quality or constraint of the system rather than a specific action.","Headings 1–2 — Functional and Nonfunctional Requirements","DOCX heading range","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed","Supports the requirement-type portion only."
"EE-049","Q-PART-002","FX-DOCX-002","SV-FX-DOCX-002-001","The local/LAN academic MVP should not claim enterprise availability or campus-wide production scale.","For a local/LAN academic MVP, nonfunctional requirements should be realistic. The project may require practical security controls, clear user feedback, and maintainable native PHP code. It should not claim enterprise availability, campus-wide production scale, or unlimited AI performance.","Heading 2 — Nonfunctional Requirements","DOCX heading","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed","Supports explaining why an exact campus-wide uptime guarantee cannot be invented."
"EE-050","Q-NOEVID-002","","","No eligible Cluster B fixture selects a cloud provider, production hosting platform, or cloud region.","No supporting passage expected.","N/A","None","N/A","None expected","N/A","FX-PDF-003;FX-DOCX-002;FX-DOCX-006;FX-PPTX-002;FX-TXT-002","Project team","Accepted - manually reviewed","Expected behavior is a clear insufficiency response without guessing."
"EE-051","Q-PROHIB-002","","","The system should not complete the graded assignment. It may offer concept explanations, study guidance, or help the student build their own answer.","No supporting answer passage expected.","N/A","None","N/A","No substantive assignment answer expected","N/A","","Project team","Accepted - manually reviewed","Policy/behavior expectation rather than evidence-grounding target."
"EE-052","Q-FOLLOW-003","FX-DOCX-006","SV-FX-DOCX-006-001","A scope change should be formally documented with its reason, affected files, and v1.0 impact.","A scope change should be documented through a decision entry or handoff update. The team should state what changes, why it is needed, what files are affected, and whether it changes the v1.0 MVP boundary.","Heading 6 — Change Control","DOCX heading","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed","The follow-up depends on active-session context from Q-INQ-007."
"EE-053","Q-FOLLOW-004","FX-DOCX-002","SV-FX-DOCX-002-001","One requirement may describe direct behavior and also impose a security or quality constraint.","The system shall use server-side permission checks before returning a restricted resource file. | Functional + Security constraint | It describes behavior plus a required protection condition.","Table 1 — Examples for BPC LearnShare","DOCX table","Yes","Primary","Top 3","","Project team","Accepted - manually reviewed","The follow-up depends on active-session context from Q-INQ-006."
"EE-054","Q-RELATED-002","FX-DOCX-002","SV-FX-DOCX-002-001","Strongly related because elicited needs are refined into functional/nonfunctional requirements and acceptance criteria.","Functional requirements should be testable. “The system should manage resources” is too broad. A clearer version is: “The system shall allow an active Student or Teacher/Instructor to upload one supported academic resource file with required metadata for moderation review.”","Heading 1 — Functional Requirements","DOCX heading","Yes","Primary related resource","Top 3","","Project team","Accepted - manually reviewed",""
"EE-055","Q-RELATED-002","FX-TXT-002","SV-FX-TXT-002-001","Strongly related because ambiguity review refines vague stakeholder statements into clearer requirements.","Ambiguity review asks: Who is the actor? What action happens? What data is used? What status or permission is required? What happens on failure? How will the team test it?","[9] Ambiguity Review","TXT numbered block","Yes","Primary related resource","Top 3","","Project team","Accepted - manually reviewed",""
"EE-056","Q-RELATED-002","FX-PPTX-002","SV-FX-PPTX-002-001","Meaningfully related because use cases express actor goals and turn requirements into testable interaction flows.","A use case describes an interaction between an actor and a system to achieve a goal.","Slide 1 — Use Cases and Process Models","PPTX slide and title","Yes","Supporting related resource","Top 5","","Project team","Accepted - manually reviewed",""
"EE-057","Q-RELATED-002","FX-DOCX-006","SV-FX-DOCX-006-001","Meaningfully related because elicited needs must be filtered through in-scope and out-of-scope boundaries.","Project scope defines what is included and what is excluded. A clear scope protects a student project from becoming too large, too expensive, or too difficult to finish.","Heading 1 — What Scope Means","DOCX heading","Yes","Supporting related resource","Top 5","","Project team","Accepted - manually reviewed",""
"EE-058","Q-FILTER-002","FX-DOCX-006","SV-FX-DOCX-006-001","DOCX guidance defining scope creep and its cross-document project risks.","Scope creep happens when new features are added without a formal decision, schedule review, or risk review. It often begins with small phrases such as “just add a chat,” “just add quizzes,” or “just add analytics.”","Heading 5 — Scope Creep","DOCX heading","Yes","Primary","Top 3","FX-PDF-003","Project team","Accepted - manually reviewed","FX-PDF-003 contains related scope-filtering guidance but must be excluded by the explicit DOCX filter."
"EE-059","Q-FILTER-002","FX-DOCX-006","SV-FX-DOCX-006-001","DOCX guidance requiring a formal decision entry or handoff update for scope changes.","A scope change should be documented through a decision entry or handoff update. The team should state what changes, why it is needed, what files are affected, and whether it changes the v1.0 MVP boundary.","Heading 6 — Change Control","DOCX heading","Yes","Primary","Top 3","FX-PDF-003","Project team","Accepted - manually reviewed",""
